x,y
-1.754,-4.707
-1.754,-4.707
-1.754,-4.707
-1.754,-4.707
-1.754,-4.707
-1.754,-4.707
-1.754,-4.707
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.938,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.754,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
-1.569,-4.523
3.415,-4.523
3.415,-4.523
3.415,-4.523
3.415,-4.523
3.415,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.6,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.784,-4.523
3.969,-4.523
3.969,-4.523
3.969,-4.523
3.969,-4.523
3.969,-4.523
3.969,-4.523
3.969,-4.523
3.969,-4.523
3.969,-4.523
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-5.815,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-2.123,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.938,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
-1.754,-4.338
